symbol,timestamp,open,high,low,close,bid,ask,volume
DEMO,2026-01-05T14:30:00+00:00,100,100.2,99.8,100,99.99,100.01,1000
DEMO,2026-01-05T14:31:00+00:00,100,100.2,99.8,100,99.99,100.01,1000
DEMO,2026-01-05T14:32:00+00:00,101,101.2,100.8,101,100.99,101.01,1000
DEMO,2026-01-05T14:33:00+00:00,103,103.2,102.8,103,102.99,103.01,1000
DEMO,2026-01-05T14:34:00+00:00,102,102.2,101.8,102,101.99,102.01,1000
DEMO,2026-01-05T14:35:00+00:00,99,99.2,98.8,99,98.99,99.01,1000
DEMO,2026-01-05T14:36:00+00:00,98,98.2,97.8,98,97.99,98.01,1000
DEMO,2026-01-05T14:37:00+00:00,100,100.2,99.8,100,99.99,100.01,1000
DEMO,2026-01-05T14:38:00+00:00,103,103.2,102.8,103,102.99,103.01,1000
DEMO,2026-01-05T14:39:00+00:00,104,104.2,103.8,104,103.99,104.01,1000
DEMO,2026-01-05T14:40:00+00:00,101,101.2,100.8,101,100.99,101.01,1000
